Group,Species or closers taxonomic level,Conventional (prev.),Conventional (rel. abund.),Organic (prev.),Organic (rel. abund.),C. annuum (prev.),C. annuum (rel. abund.),C. baccatum (prev.),C. baccatum (rel. abund.),C. chinense (prev.),C. chinense (rel. abund.),Hybrid A (prev.),Hybrid A (rel. abund.),Hybrid B (prev.),Hybrid B (rel. abund.),Bola (prev.),Bola (rel. abund.),Cali. Wond. Red (prev.),Cali. Wond. Red (rel. abund.),Piquillo (prev.),Piquillo (rel. abund.),Serrano (prev.),Serrano (rel. abund.),Blank (prev.),Blank (rel. abund.),"Simonin et al. (2020, prev.)","Simonin et al. (2020, rel. abund.)"
Bacteria,Solirubrobacter_sp95,36.73%,0.70%,38.30%,0.86%,40.00%,0.82%,25.00%,0.46%,41.67%,0.85%,45.45%,1.11%,40.00%,0.69%,36.36%,0.85%,45.45%,0.69%,45.45%,0.79%,33.33%,0.73%,NA,NA,NA,NA
Bacteria,Sphingobium_sp,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Sphingomonas_daechungensis,NA,NA,NA,NA,NA,NA,33.33%,0.44%,NA,NA,NA,NA,30.00%,0.25%,NA,NA,27.27%,0.29%,27.27%,0.23%,NA,NA,NA,NA,42.00%,0.07%
Bacteria,Sphingomonas_sp,36.73%,0.47%,38.30%,2.57%,40.00%,0.50%,25.00%,0.27%,41.67%,8.77%,45.45%,0.49%,40.00%,0.48%,36.36%,0.50%,45.45%,0.36%,36.36%,0.39%,41.67%,0.62%,NA,NA,42.00%,0.07%
Bacteria,Steroidobacter_sp,53.06%,2.14%,48.94%,1.00%,55.56%,2.27%,50.00%,0.88%,41.67%,1.75%,45.45%,0.69%,40.00%,0.62%,54.55%,4.44%,63.64%,2.07%,54.55%,0.75%,50.00%,0.71%,66.67%,0.56%,30.00%,0.06%
Bacteria,Streptomyces_sp,81.63%,18.77%,57.45%,6.18%,73.33%,13.32%,75.00%,20.84%,66.67%,11.46%,72.73%,6.62%,70.00%,12.24%,81.82%,12.13%,81.82%,8.84%,63.64%,4.73%,66.67%,17.33%,33.33%,0.38%,33.00%,0.03%
Bacteria,Terrimonas_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.12%,NA,NA,50.00%,0.14%,NA,NA
Bacteria,type_III_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,9.10%,NA,NA,NA,NA,NA,NA
Bacteria,Unid_368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.23%,NA,NA
Bacteria,Unid_370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.01%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_371,NA,NA,29.79%,0.12%,26.67%,0.11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.36%,0.10%,41.67%,0.17%,50.00%,0.31%,NA,NA
Bacteria,Unid_Acidimicrobiia,38.78%,0.42%,34.04%,0.36%,37.78%,0.45%,33.33%,0.41%,25.00%,0.15%,45.45%,0.55%,NA,NA,45.45%,0.53%,45.45%,0.35%,54.55%,0.68%,NA,NA,66.67%,0.31%,NA,NA
Bacteria,Unid_Acidimicrobiia51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.14%,NA,NA,41.67%,0.24%,33.33%,0.05%,NA,NA
Bacteria,Unid_Acidimicrobiia54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.36%,0.17%,30.00%,0.27%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Acidobacteriae6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.03%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.00%,0.07%,NA,NA
Bacteria,Unid_Acidobacteriota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.06%,NA,NA,NA,NA,NA,NA,36.36%,0.07%,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Acidobacteriota23,34.69%,0.18%,NA,NA,28.89%,0.16%,33.33%,0.14%,NA,NA,27.27%,0.12%,40.00%,0.17%,36.36%,0.22%,36.36%,0.13%,27.27%,0.13%,NA,NA,33.33%,0.22%,NA,NA
Bacteria,Unid_Actinobacteria67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.00%,NA,NA,NA,NA
Bacteria,Unid_Actinobacteriota,44.90%,0.80%,46.81%,0.65%,42.22%,0.49%,33.33%,0.45%,41.67%,1.69%,45.45%,0.50%,60.00%,0.78%,54.55%,0.60%,45.45%,0.56%,45.45%,0.40%,25.00%,0.29%,83.33%,1.03%,NA,NA
Bacteria,Unid_Actinobacteriota77,38.78%,0.39%,34.04%,0.34%,33.33%,0.32%,33.33%,0.42%,25.00%,0.25%,45.45%,0.34%,40.00%,0.33%,27.27%,0.23%,27.27%,0.29%,45.45%,0.24%,33.33%,0.39%,66.67%,0.75%,NA,NA
Bacteria,Unid_Actinobacteriota78,28.57%,0.20%,NA,NA,NA,NA,25.00%,0.21%,25.00%,0.12%,27.27%,0.21%,NA,NA,36.36%,0.45%,NA,NA,NA,NA,NA,NA,33.33%,0.14%,NA,NA
Bacteria,Unid_Actinobacteriota79,55.10%,0.68%,57.45%,0.80%,53.33%,0.67%,50.00%,0.67%,50.00%,0.60%,54.55%,0.65%,60.00%,0.80%,54.55%,0.65%,54.55%,0.60%,54.55%,0.57%,50.00%,0.67%,100.00%,1.37%,NA,NA
Bacteria,Unid_Actinomarinales,40.82%,0.28%,46.81%,0.35%,42.22%,0.30%,41.67%,0.29%,41.67%,0.29%,45.45%,0.31%,50.00%,0.39%,45.45%,0.32%,45.45%,0.30%,36.36%,0.23%,41.67%,0.27%,50.00%,0.30%,NA,NA
Bacteria,Unid_Actinomarinales49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.15%,NA,NA,NA,NA
Bacteria,Unid_Actinomarinales50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.00%,0.21%,NA,NA
Bacteria,Unid_Alcaligenaceae,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.02%,27.27%,0.01%,30.00%,0.02%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Anaerolineaceae194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.45%,0.11%,NA,NA,NA,NA,27.27%,0.07%,NA,NA,NA,NA,NA,NA,"32%, 27%","0.14%, 0.04%"
Bacteria,Unid_Ardenticatenales198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.06%,NA,NA,25.00%,0.06%,NA,NA,NA,NA
Bacteria,Unid_Azospirillales,34.69%,0.25%,36.17%,0.27%,37.78%,0.27%,33.33%,0.26%,33.33%,0.28%,27.27%,0.15%,30.00%,0.21%,54.55%,0.36%,36.36%,0.26%,36.36%,0.26%,25.00%,0.12%,50.00%,0.32%,NA,NA
Bacteria,Unid_Bacteroidia,NA,NA,25.53%,0.03%,NA,NA,25.00%,0.04%,NA,NA,36.36%,0.02%,40.00%,0.03%,27.27%,0.06%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Bdellovibrionaceae188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.07%,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Blastocatellaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.00%,0.15%,NA,NA,NA,NA,NA,NA,NA,NA,50.00%,0.13%,"43%, 37%","0.30%, 0.13%"
Bacteria,Unid_Blastocatellaceae10,32.65%,0.23%,NA,NA,31.11%,0.20%,25.00%,0.14%,NA,NA,27.27%,0.18%,30.00%,0.17%,36.36%,0.23%,27.27%,0.14%,36.36%,0.19%,25.00%,0.19%,33.33%,0.29%,"43%, 37%","0.30%, 0.13%"
Bacteria,Unid_Blastocatellaceae11,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43%, 37%","0.30%, 0.13%"
Bacteria,Unid_Blastocatellia12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.06%,30.00%,0.05%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Burkholderiales546,53.06%,0.45%,51.06%,0.39%,46.67%,0.42%,50.00%,0.38%,50.00%,0.35%,54.55%,0.30%,50.00%,0.34%,45.45%,0.36%,45.45%,0.44%,45.45%,0.45%,50.00%,0.29%,100.00%,0.78%,NA,NA
Bacteria,Unid_Burkholderiales550,NA,NA,27.66%,0.18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.18%,NA,NA,NA,NA,NA,NA,50.00%,0.29%,NA,NA
Bacteria,Unid_Caldilineaceae202,32.65%,0.21%,31.91%,0.18%,28.89%,0.17%,25.00%,0.16%,50.00%,0.24%,NA,NA,40.00%,0.33%,27.27%,0.16%,36.36%,0.20%,27.27%,0.14%,25.00%,0.14%,50.00%,0.21%,NA,NA
Bacteria,Unid_Chitinophagaceae,46.94%,0.17%,29.79%,0.16%,44.44%,0.17%,25.00%,0.19%,25.00%,0.14%,45.45%,0.18%,30.00%,0.08%,45.45%,0.18%,54.55%,0.13%,36.36%,0.15%,41.67%,0.16%,50.00%,0.13%,"48%, 32%, 32%, 30%, 30%, 27%, 27%","0.42%, 0.07%, 0.04%, 0.09%, 0.08%, 0.04%, 0.03%"
Bacteria,Unid_Chitinophagaceae113,NA,NA,36.17%,0.21%,NA,NA,25.00%,0.14%,25.00%,0.15%,36.36%,0.38%,40.00%,0.20%,27.27%,0.08%,27.27%,0.08%,NA,NA,25.00%,0.16%,50.00%,0.36%,"48%, 32%, 32%, 30%, 30%, 27%, 27%","0.42%, 0.07%, 0.04%, 0.09%, 0.08%, 0.04%, 0.03%"
Bacteria,Unid_Chitinophagaceae114,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48%, 32%, 32%, 30%, 30%, 27%, 27%","0.42%, 0.07%, 0.04%, 0.09%, 0.08%, 0.04%, 0.03%"
Bacteria,Unid_Chitinophagaceae117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.09%,NA,NA,NA,NA,"48%, 32%, 32%, 30%, 30%, 27%, 27%","0.42%, 0.07%, 0.04%, 0.09%, 0.08%, 0.04%, 0.03%"
Bacteria,Unid_Chloroflexi235,53.06%,0.85%,55.32%,0.99%,53.33%,0.86%,50.00%,0.89%,41.67%,0.55%,54.55%,0.85%,60.00%,1.19%,54.55%,0.86%,54.55%,0.86%,54.55%,0.80%,50.00%,0.68%,83.33%,1.48%,NA,NA
Bacteria,Unid_Chloroflexi237,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.70%,NA,NA,40.00%,0.23%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Chloroflexi239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.36%,0.10%,30.00%,0.10%,27.27%,0.10%,27.27%,0.10%,NA,NA,25.00%,0.05%,NA,NA,NA,NA
Bacteria,Unid_Chloroflexi241,53.06%,0.34%,55.32%,0.40%,51.11%,0.32%,50.00%,0.34%,50.00%,0.38%,54.55%,0.31%,60.00%,0.50%,54.55%,0.37%,54.55%,0.32%,54.55%,0.28%,41.67%,0.22%,83.33%,0.48%,NA,NA
Bacteria,Unid_Chloroflexi242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.45%,0.10%,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Chloroflexi243,28.57%,0.29%,29.79%,0.51%,31.11%,0.50%,25.00%,0.45%,25.00%,0.19%,NA,NA,30.00%,0.11%,36.36%,0.44%,36.36%,0.68%,NA,NA,33.33%,0.24%,50.00%,0.82%,NA,NA
Bacteria,Unid_Chloroflexi244,48.98%,0.93%,40.43%,0.74%,44.44%,0.76%,33.33%,0.63%,33.33%,0.86%,54.55%,0.81%,60.00%,1.21%,36.36%,0.67%,45.45%,0.75%,54.55%,0.71%,41.67%,0.69%,50.00%,0.88%,NA,NA
Bacteria,Unid_Chloroflexi246,34.69%,0.29%,44.68%,0.50%,40.00%,0.43%,NA,NA,25.00%,0.20%,45.45%,0.42%,40.00%,0.20%,36.36%,0.30%,27.27%,0.20%,54.55%,0.72%,41.67%,0.32%,100.00%,1.01%,NA,NA
Bacteria,Unid_Chloroflexi249,38.78%,0.35%,42.55%,0.42%,31.11%,0.29%,41.67%,0.39%,33.33%,0.37%,54.55%,0.41%,40.00%,0.38%,27.27%,0.24%,NA,NA,45.45%,0.35%,33.33%,0.34%,100.00%,0.79%,NA,NA
Bacteria,Unid_Chloroflexi250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.13%,NA,NA,25.00%,0.07%,NA,NA,NA,NA
Bacteria,Unid_Chloroflexi251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.14%,36.36%,0.12%,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Chloroflexi253,55.10%,0.56%,57.45%,0.66%,53.33%,0.58%,50.00%,0.48%,50.00%,0.53%,54.55%,0.55%,60.00%,0.74%,54.55%,0.58%,54.55%,0.60%,54.55%,0.48%,50.00%,0.50%,100.00%,0.91%,NA,NA
Bacteria,Unid_Chthonomonadales_96,36.73%,0.14%,NA,NA,31.11%,0.11%,NA,NA,33.33%,0.12%,45.45%,0.12%,NA,NA,36.36%,0.09%,27.27%,0.08%,36.36%,0.12%,25.00%,0.11%,33.33%,0.10%,NA,NA
Bacteria,Unid_Comamonadaceae,44.90%,0.44%,51.06%,0.60%,48.89%,0.46%,33.33%,1.31%,41.67%,0.48%,54.55%,0.22%,40.00%,0.25%,45.45%,0.20%,54.55%,0.64%,54.55%,0.56%,41.67%,0.20%,83.33%,0.28%,NA,NA
Bacteria,Unid_Dehalococcoidia230,46.94%,0.51%,36.17%,0.46%,42.22%,0.43%,33.33%,0.49%,41.67%,0.57%,54.55%,0.64%,40.00%,0.52%,45.45%,0.48%,45.45%,0.35%,45.45%,0.47%,33.33%,0.30%,33.33%,0.18%,NA,NA
Bacteria,Unid_Dehalococcoidia231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.18%,NA,NA,66.67%,0.74%,NA,NA
Bacteria,Unid_Dehalococcoidia232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.02%,NA,NA
Bacteria,Unid_Dehalococcoidia233,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.02%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Elusimicrobia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.45%,0.55%,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Elusimicrobia261,34.69%,0.07%,NA,NA,33.33%,0.08%,NA,NA,NA,NA,36.36%,0.07%,NA,NA,27.27%,0.03%,27.27%,0.09%,45.45%,0.08%,33.33%,0.07%,33.33%,0.05%,NA,NA
Bacteria,Unid_Elusimicrobiota266,32.65%,0.24%,46.81%,0.30%,42.22%,0.31%,NA,NA,33.33%,0.20%,45.45%,0.31%,50.00%,0.19%,45.45%,0.31%,36.36%,0.29%,45.45%,0.28%,41.67%,0.27%,50.00%,0.40%,NA,NA
Bacteria,Unid_Elusimicrobiota267,NA,NA,NA,NA,NA,NA,33.33%,0.18%,NA,NA,NA,NA,30.00%,0.14%,NA,NA,NA,NA,27.27%,0.07%,NA,NA,50.00%,0.11%,NA,NA
Bacteria,Unid_Fibrobacteraceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.07%,NA,NA
Bacteria,Unid_Fibrobacteraceae271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.00%,0.05%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Gaiellales,46.94%,0.57%,48.94%,0.55%,44.44%,0.42%,41.67%,0.61%,50.00%,0.47%,45.45%,0.50%,50.00%,0.74%,54.55%,0.48%,36.36%,0.24%,36.36%,0.37%,50.00%,0.47%,83.33%,1.21%,NA,NA
Bacteria,Unid_Gaiellales88,40.82%,0.42%,36.17%,0.35%,42.22%,0.40%,NA,NA,33.33%,0.34%,36.36%,0.30%,50.00%,0.48%,27.27%,0.26%,54.55%,0.49%,45.45%,0.36%,41.67%,0.37%,66.67%,0.73%,NA,NA
Bacteria,Unid_Gammaproteobacteria521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.36%,0.07%,NA,NA,NA,NA,30.00%,0.03%
Bacteria,Unid_Gammaproteobacteria552,44.90%,0.59%,36.17%,0.56%,37.78%,0.56%,25.00%,0.32%,33.33%,0.38%,54.55%,0.66%,50.00%,0.73%,27.27%,0.36%,36.36%,0.55%,54.55%,0.72%,33.33%,0.45%,66.67%,0.91%,30.00%,0.03%
Bacteria,Unid_Gammaproteobacteria554,NA,NA,NA,NA,NA,NA,33.33%,0.57%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.46%,30.00%,0.03%
Bacteria,Unid_Gammaproteobacteria576,44.90%,0.59%,44.68%,0.61%,46.67%,0.61%,33.33%,0.54%,33.33%,0.46%,45.45%,0.47%,40.00%,0.58%,36.36%,0.49%,54.55%,0.58%,54.55%,0.73%,41.67%,0.45%,83.33%,0.98%,30.00%,0.03%
Bacteria,Unid_Geminicoccaceae,46.94%,0.95%,44.68%,0.85%,42.22%,0.88%,50.00%,1.13%,33.33%,0.37%,54.55%,0.81%,40.00%,0.64%,27.27%,0.70%,63.64%,1.12%,54.55%,1.13%,25.00%,0.32%,83.33%,1.81%,NA,NA
Bacteria,Unid_Geminicoccaceae520,44.90%,1.11%,42.55%,0.38%,48.89%,0.55%,NA,NA,33.33%,2.51%,45.45%,0.34%,50.00%,0.58%,45.45%,0.55%,45.45%,0.54%,54.55%,0.45%,50.00%,0.49%,83.33%,0.75%,NA,NA
Bacteria,Unid_Gemmataceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.00%,0.11%,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.14%,NA,NA
Bacteria,Unid_Gemmataceae461,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.05%,27.27%,0.04%,NA,NA,27.27%,0.07%,27.27%,0.05%,NA,NA,NA,NA,33.33%,0.08%,NA,NA
Bacteria,Unid_Gemmataceae462,51.02%,0.11%,55.32%,0.43%,51.11%,0.36%,41.67%,0.07%,50.00%,0.14%,54.55%,0.21%,60.00%,0.11%,54.55%,0.16%,45.45%,0.10%,54.55%,0.95%,50.00%,0.08%,83.33%,0.30%,NA,NA
Bacteria,Unid_Gemmataceae464,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.08%,NA,NA,NA,NA,NA,NA,27.27%,0.04%,NA,NA,33.33%,0.10%,33.33%,0.14%,NA,NA
Bacteria,Unid_Gemmatimonadaceae,51.02%,0.45%,53.19%,0.56%,53.33%,0.53%,41.67%,0.27%,50.00%,0.42%,54.55%,0.57%,60.00%,0.44%,54.55%,0.68%,54.55%,0.40%,54.55%,0.40%,50.00%,0.49%,50.00%,0.70%,"32%, 27%","0.04%, 0.03%"
Bacteria,Unid_Gemmatimonadaceae287,55.10%,1.71%,57.45%,2.06%,53.33%,1.72%,50.00%,1.68%,50.00%,1.47%,54.55%,1.89%,60.00%,1.59%,54.55%,1.62%,54.55%,1.78%,54.55%,1.45%,50.00%,1.54%,100.00%,3.81%,"32%, 27%","0.04%, 0.03%"
Bacteria,Unid_Gemmatimonadaceae289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.07%,36.36%,0.12%,NA,NA,NA,NA,"32%, 27%","0.04%, 0.03%"
Bacteria,Unid_Gemmatimonadaceae290,53.06%,0.68%,46.81%,0.66%,48.89%,0.66%,41.67%,0.53%,50.00%,0.72%,36.36%,0.40%,50.00%,0.64%,36.36%,0.64%,63.64%,0.85%,45.45%,0.35%,50.00%,0.60%,100.00%,1.12%,"32%, 27%","0.04%, 0.03%"
Bacteria,Unid_Gemmatimonadaceae291,38.78%,0.07%,36.17%,0.12%,31.11%,0.04%,33.33%,0.03%,25.00%,0.01%,45.45%,0.04%,50.00%,0.09%,36.36%,0.05%,27.27%,0.01%,27.27%,0.02%,33.33%,0.06%,83.33%,0.80%,"32%, 27%","0.04%, 0.03%"
Bacteria,Unid_Gemmatimonadaceae293,NA,NA,27.66%,0.17%,26.67%,0.22%,NA,NA,33.33%,0.16%,27.27%,0.14%,NA,NA,36.36%,0.31%,27.27%,0.11%,NA,NA,25.00%,0.26%,50.00%,0.37%,"32%, 27%","0.04%, 0.03%"
Bacteria,Unid_Gemmatimonadaceae294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.00%,0.06%,NA,NA,36.36%,0.01%,36.36%,0.15%,25.00%,0.01%,NA,NA,"32%, 27%","0.04%, 0.03%"
Bacteria,Unid_Gemmatimonadaceae295,48.98%,0.25%,34.04%,0.14%,42.22%,0.21%,33.33%,0.11%,41.67%,0.18%,36.36%,0.16%,50.00%,0.27%,45.45%,0.23%,36.36%,0.16%,36.36%,0.17%,50.00%,0.21%,50.00%,0.18%,"32%, 27%","0.04%, 0.03%"
Bacteria,Unid_Gemmatimonadaceae296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.00%,"32%, 27%","0.04%, 0.03%"
Bacteria,Unid_Gemmatimonadaceae297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.00%,0.35%,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.34%,"32%, 27%","0.04%, 0.03%"
Bacteria,Unid_Gemmatimonadaceae298,NA,NA,29.79%,0.12%,NA,NA,33.33%,0.13%,NA,NA,NA,NA,30.00%,0.11%,27.27%,0.13%,27.27%,0.10%,27.27%,0.10%,NA,NA,NA,NA,"32%, 27%","0.04%, 0.03%"
Bacteria,Unid_Gemmatimonadota,40.82%,0.35%,34.04%,0.23%,40.00%,0.32%,25.00%,0.14%,41.67%,0.28%,27.27%,0.14%,30.00%,0.13%,54.55%,0.36%,36.36%,0.28%,27.27%,0.20%,41.67%,0.35%,66.67%,0.71%,NA,NA
Bacteria,Unid_Gemmatimonadota277,53.06%,0.52%,34.04%,0.27%,42.22%,0.35%,33.33%,0.33%,33.33%,0.33%,54.55%,0.39%,50.00%,0.58%,54.55%,0.36%,36.36%,0.41%,54.55%,0.39%,25.00%,0.13%,66.67%,0.62%,NA,NA
Bacteria,Unid_Gemmatimonadota278,NA,NA,25.53%,0.04%,NA,NA,NA,NA,NA,NA,45.45%,0.09%,40.00%,0.04%,NA,NA,27.27%,0.08%,27.27%,0.01%,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Gemmatimonadota280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.00%,NA,NA
Bacteria,Unid_Gemmatimonadota281,26.53%,0.07%,NA,NA,NA,NA,NA,NA,25.00%,0.04%,27.27%,0.04%,30.00%,0.11%,NA,NA,NA,NA,NA,NA,33.33%,0.13%,NA,NA,NA,NA
Bacteria,Unid_Gemmatimonadota282,26.53%,0.19%,NA,NA,26.67%,0.17%,25.00%,0.16%,NA,NA,27.27%,0.21%,NA,NA,NA,NA,36.36%,0.18%,36.36%,0.23%,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Gemmatimonadota304,30.61%,0.15%,NA,NA,NA,NA,NA,NA,50.00%,0.15%,27.27%,0.10%,30.00%,0.06%,36.36%,0.12%,NA,NA,27.27%,0.30%,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Gemmatimonadota305,55.10%,0.52%,55.32%,0.64%,53.33%,0.43%,50.00%,0.52%,50.00%,0.64%,54.55%,0.60%,60.00%,0.71%,54.55%,0.34%,54.55%,0.38%,54.55%,0.40%,50.00%,0.46%,83.33%,1.11%,NA,NA
Bacteria,Unid_Gemmatimonadota306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.04%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Gemmatimonadota307,42.86%,0.39%,42.55%,0.51%,42.22%,0.48%,25.00%,0.25%,25.00%,0.16%,54.55%,0.46%,50.00%,0.90%,54.55%,0.67%,54.55%,0.42%,36.36%,0.46%,25.00%,0.24%,83.33%,0.33%,NA,NA
Bacteria,Unid_Gemmatimonadota308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.36%,0.06%,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Holophagae,NA,NA,NA,NA,NA,NA,25.00%,0.14%,NA,NA,27.27%,0.16%,NA,NA,NA,NA,NA,NA,27.27%,0.10%,NA,NA,33.33%,0.35%,NA,NA
Bacteria,Unid_Holophagae21,34.69%,0.34%,31.91%,0.22%,31.11%,0.26%,33.33%,0.30%,33.33%,0.24%,NA,NA,50.00%,0.34%,27.27%,0.18%,27.27%,0.25%,45.45%,0.36%,25.00%,0.18%,50.00%,0.48%,NA,NA
Bacteria,Unid_Hyphomonadaceae,44.90%,0.20%,57.45%,0.38%,51.11%,0.29%,41.67%,0.28%,41.67%,0.18%,54.55%,0.23%,40.00%,0.17%,54.55%,0.31%,54.55%,0.22%,45.45%,0.25%,50.00%,0.31%,100.00%,0.62%,NA,NA
Bacteria,Unid_Ilumatobacteraceae,NA,NA,NA,NA,NA,NA,25.00%,0.27%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Ilumatobacteraceae61,NA,NA,25.53%,0.28%,NA,NA,25.00%,0.16%,25.00%,0.31%,27.27%,0.24%,NA,NA,NA,NA,27.27%,0.22%,27.27%,0.34%,NA,NA,83.33%,0.57%,NA,NA
Bacteria,Unid_Ilumatobacteraceae63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.31%,NA,NA,NA,NA,NA,NA,NA,NA
